epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9296,1.79731,3.60942,1.90437,0.00394,0.54167,0.02202,0.00522,1.74672,3.7362,1.89887,0.000583333,0.000583333,0.000583333
2,107.804,1.83333,3.31541,1.82758,0.00515,0.70833,0.012,0.0046,1.94762,3.90421,1.92285,0.00122525,0.00122525,0.00122525
3,157.429,1.95853,3.25034,1.88435,0.00515,0.70833,0.0371,0.01725,2.18635,3.90152,2.17663,0.00184077,0.00184077,0.00184077
4,213.231,2.03548,3.23964,1.93101,0.00545,0.75,0.03352,0.01494,2.62845,4.13139,2.55354,0.0018812,0.0018812,0.0018812
5,274.666,2.02893,3.20394,1.96418,0.00455,0.625,0.00827,0.00167,3.06691,4.40139,2.90236,0.0018416,0.0018416,0.0018416
6,337.387,2.07571,3.23189,1.98211,0.00424,0.58333,0.00756,0.00173,3.05608,4.30492,3.16285,0.001802,0.001802,0.001802
7,387.959,2.10167,3.19172,1.98512,0.00394,0.54167,0.00767,0.00223,2.9881,4.39759,2.95694,0.0017624,0.0017624,0.0017624
8,437.665,2.05289,3.07014,1.93459,0.00455,0.625,0.00814,0.00221,3.02318,4.61448,3.00606,0.0017228,0.0017228,0.0017228
9,486.774,2.12189,3.0508,2.05499,0.00303,0.41667,0.00192,0.0005,3.27116,4.71928,3.41372,0.0016832,0.0016832,0.0016832
10,543.67,2.13325,3.08693,2.04739,0.00303,0.41667,0.00217,0.00067,3.22897,4.53745,3.94931,0.0016436,0.0016436,0.0016436
11,597.738,2.08787,3.07611,2.0128,0.00249,0.33333,0.00283,0.0007,3.10684,4.56277,4.06371,0.001604,0.001604,0.001604
12,650.602,2.11782,2.97439,2.00013,0.00365,0.29167,0.00338,0.00099,3.25524,4.46777,4.03828,0.0015644,0.0015644,0.0015644
13,704.5,1.91973,2.86857,1.83288,0.00187,0.16667,0.00156,0.00028,3.37749,5.12528,3.97106,0.0015248,0.0015248,0.0015248
14,872.331,2.03438,2.93092,1.95284,0.00212,0.29167,0.00072,0.00017,3.63999,7.11738,4.60619,0.0014852,0.0014852,0.0014852
15,928.425,1.94458,2.77466,1.88124,0.01266,0.04167,0.00601,0.00098,3.45164,4.79931,4.36713,0.0014456,0.0014456,0.0014456
16,978.735,1.80924,2.69112,1.87367,0.01947,0.125,0.0076,0.00158,3.21695,7.43095,3.64433,0.001406,0.001406,0.001406
17,1025.28,2.14511,2.82965,2.08764,0.00868,0.16667,0.0032,0.00092,3.09585,15.6367,3.37714,0.0013664,0.0013664,0.0013664
18,1085.93,1.91862,2.90047,1.9667,0.04071,0.04167,0.00608,0.00161,2.97564,5.16004,2.96925,0.0013268,0.0013268,0.0013268
19,1154.35,1.95553,2.70422,1.92565,0.12212,0.16667,0.0769,0.01744,3.00743,4.39366,3.05194,0.0012872,0.0012872,0.0012872
20,1229,1.84954,2.57714,1.86332,0.15428,0.125,0.0298,0.00656,2.87227,5.68762,3.01701,0.0012476,0.0012476,0.0012476
21,1298.86,1.88818,2.60318,1.8928,0.26784,0.125,0.10747,0.02488,2.72778,6.25559,2.84766,0.001208,0.001208,0.001208
22,1376.26,1.77753,2.60653,1.83042,0.16674,0.125,0.08761,0.04058,2.59835,6.53343,2.68835,0.0011684,0.0011684,0.0011684
23,1444.86,1.92213,2.54067,1.89665,0.3307,0.08333,0.07794,0.04496,2.72254,6.14111,2.70792,0.0011288,0.0011288,0.0011288
24,1518.05,1.78417,2.47683,1.8205,0.86368,0.08333,0.10877,0.04942,2.75483,4.08405,2.65495,0.0010892,0.0010892,0.0010892
25,1589.25,1.7255,2.45467,1.71099,0.34116,0.125,0.10186,0.05535,2.71224,3.76156,2.57522,0.0010496,0.0010496,0.0010496
26,1659.36,1.83694,2.54504,1.8452,0.1801,0.125,0.05129,0.01612,2.66062,3.86446,2.50029,0.00101,0.00101,0.00101
27,1735.18,1.77061,2.46617,1.82252,0.09565,0.16667,0.04088,0.0128,2.5417,3.76534,2.2742,0.0009704,0.0009704,0.0009704
28,1817.46,1.66882,2.42235,1.69256,0.09069,0.16667,0.03344,0.01184,2.52321,3.66482,2.3046,0.0009308,0.0009308,0.0009308
29,1896.66,1.69145,2.28724,1.69059,0.11529,0.125,0.0476,0.0164,2.37438,3.56714,2.23246,0.0008912,0.0008912,0.0008912
30,1981.13,1.62551,2.43682,1.71711,0.1297,0.125,0.0744,0.02785,2.29964,3.45372,2.06711,0.0008516,0.0008516,0.0008516
