epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,71.3958,1.81102,3.99218,3.62472,1.87452,0,0.00515,0.70833,0.03473,0.01978,0.00303,0.41667,0.02825,0.01049,2.076,4.97079,3.89619,2.01267,0,0.000583333,0.000583333,0.000583333
2,152.871,1.83065,4.03582,3.23396,1.68761,0,0.00485,0.66667,0.03159,0.01621,0.00242,0.33333,0.00298,0.00039,2.256,9.07648,4.01406,2.30451,0,0.00122525,0.00122525,0.00122525
3,232.455,1.96407,3.96205,3.22713,1.79378,0,0.00424,0.58333,0.04422,0.01359,0.00182,0.25,0.00098,0.00017,2.44856,8.00001,4.00468,2.56573,0,0.00184077,0.00184077,0.00184077
4,322.391,2.07583,4.14756,3.20799,1.87953,0,0.00455,0.625,0.02327,0.00836,0.00091,0.125,0.00124,0.00024,2.75441,11.7262,4.29715,2.89721,0,0.0018812,0.0018812,0.0018812
5,400.645,2.16581,4.15464,3.21563,1.86361,0,0.00394,0.54167,0.01757,0.00489,0.00091,0.125,0.00074,0.00016,2.61834,16.234,4.22395,2.99056,0,0.0018416,0.0018416,0.0018416
6,477.826,2.09989,3.99072,3.24742,1.87425,0,0.00641,0.41667,0.01732,0.0057,0.00121,0.16667,0.00485,0.00085,2.92225,14.9141,4.26226,3.12095,0,0.001802,0.001802,0.001802
7,555.675,2.10399,4.11703,3.17763,1.89095,0,0.00242,0.33333,0.02069,0.00904,0.00061,0.08333,0.01196,0.00461,3.04094,21.8544,4.4975,3.03295,0,0.0017624,0.0017624,0.0017624
8,632.627,1.93496,4.00052,3.10599,1.82476,0,0.01904,0.08333,0.01836,0.00999,0.0003,0.04167,0.00027,5e-05,2.78143,40.4547,4.62163,2.96465,0,0.0017228,0.0017228,0.0017228
9,710.702,2.06868,3.93052,3.06255,1.88525,0,0.00121,0.16667,0.00322,0.00112,0,0,0,0,3.2857,48.1334,5.07648,3.42809,0,0.0016832,0.0016832,0.0016832
10,787.566,2.12074,3.76804,3.09812,1.93485,0,0.00212,0.29167,0.00129,0.0002,0,0,0,0,3.49938,44.4555,5.30216,4.15573,0,0.0016436,0.0016436,0.0016436
11,858.539,2.00597,3.90745,3.04843,1.91836,0,0.00655,0.125,0.00201,0.00036,0,0,0,0,3.16055,38.638,5.11347,3.77131,0,0.001604,0.001604,0.001604
12,939.17,2.10119,3.87329,2.96745,1.9152,0,0.01319,0.16667,0.00679,0.00169,0.00052,0.04167,0.00019,4e-05,2.87609,42.6577,4.95165,3.15311,0,0.0015644,0.0015644,0.0015644
13,1024.45,1.99766,3.75346,2.98319,1.81414,0,0.03443,0.25,0.01179,0.00345,0.00507,0.04167,0.00046,5e-05,2.7991,48.1254,5.69223,3.08891,0,0.0015248,0.0015248,0.0015248
14,1105.59,1.98696,3.9813,2.88628,1.83718,0,0.02998,0.125,0.0114,0.00364,0,0,0,0,3.01518,48.4963,6.26609,3.6096,0,0.0014852,0.0014852,0.0014852
15,1183.11,2.00287,3.76236,2.76447,1.87515,0,0.00674,0.08333,0.00234,0.0005,0,0,0,0,3.45172,47.4879,6.94871,3.66149,0,0.0014456,0.0014456,0.0014456
16,1260.88,1.90005,3.63945,2.77834,1.84123,0,0.00873,0.20833,0.00451,0.0013,0.00348,0.08333,0.00072,0.0001,3.37431,28.7237,6.84154,3.51305,0,0.001406,0.001406,0.001406
17,1326.65,1.99568,3.71805,2.824,1.89014,0,0.14384,0.125,0.03665,0.00528,0.0489,0.04167,0.00479,0.00061,3.51279,16.8226,4.38747,3.42321,0,0.0013664,0.0013664,0.0013664
18,1406.12,1.89707,3.50633,2.85163,1.85488,0,0.52841,0.16667,0.17936,0.05305,0.39481,0.125,0.08024,0.01483,2.93823,10.0453,3.578,2.84724,0,0.0013268,0.0013268,0.0013268
19,1479.9,1.81114,3.39339,2.63826,1.72873,0,0.39664,0.20833,0.15474,0.06959,0.11597,0.16667,0.07065,0.02944,2.40581,7.43407,3.59326,2.35208,0,0.0012872,0.0012872,0.0012872
20,1561.12,1.77941,3.538,2.62665,1.73939,0,0.37354,0.16667,0.14917,0.07056,0.18422,0.16667,0.08856,0.04263,2.29192,6.93778,3.8593,2.1536,0,0.0012476,0.0012476,0.0012476
21,1652.55,1.71868,3.34708,2.50252,1.67415,0,0.18803,0.16667,0.10591,0.05264,0.36277,0.16667,0.1083,0.03482,2.24446,6.5499,4.13891,2.08175,0,0.001208,0.001208,0.001208
22,1715.23,1.81277,3.50411,2.59431,1.74533,0,0.42128,0.125,0.11043,0.05011,0.42128,0.125,0.10026,0.03039,2.23433,7.08501,4.16205,2.14382,0,0.0011684,0.0011684,0.0011684
23,1776.62,1.79163,3.44197,2.51105,1.71419,0,0.28158,0.20833,0.1342,0.06699,0.27741,0.16667,0.1067,0.04876,2.35899,6.78786,3.73714,2.20946,0,0.0011288,0.0011288,0.0011288
24,1843.41,1.69465,3.17611,2.4098,1.64764,0,0.17811,0.20833,0.13183,0.07328,0.27136,0.20204,0.10849,0.05494,2.19988,6.26557,3.3654,2.10709,0,0.0010892,0.0010892,0.0010892
25,1905.45,1.71795,3.23469,2.39034,1.62669,0,0.25027,0.16667,0.08176,0.04565,0.25027,0.16667,0.06339,0.03006,2.07358,6.05152,3.41436,1.9808,0,0.0010496,0.0010496,0.0010496
26,1967.19,1.72727,3.26359,2.45145,1.69564,0,0.14749,0.25,0.08543,0.04694,0.1586,0.125,0.05308,0.02104,2.0631,5.87329,3.34708,1.9497,0,0.00101,0.00101,0.00101
27,2028.47,1.69891,3.35168,2.28505,1.67726,0,0.42268,0.08333,0.09175,0.054,0.42268,0.08333,0.05517,0.02186,2.07012,5.76076,3.22109,1.9418,0,0.0009704,0.0009704,0.0009704
28,2090.31,1.64391,2.95242,2.3575,1.61847,0,0.20832,0.125,0.15045,0.09292,0.20832,0.125,0.11269,0.0458,2.12456,5.48089,2.99661,1.97274,0,0.0009308,0.0009308,0.0009308
29,2151.09,1.70033,3.07154,2.24693,1.62798,0,0.30468,0.16667,0.18024,0.09971,0.19566,0.16667,0.13013,0.05244,2.05885,5.33057,2.95306,1.93919,0,0.0008912,0.0008912,0.0008912
30,2224.41,1.59158,3.11923,2.34026,1.60684,0,0.53174,0.16667,0.20696,0.0972,0.53174,0.16667,0.14529,0.05838,2.05586,5.01934,2.808,1.91051,0,0.0008516,0.0008516,0.0008516
31,2299.78,1.59027,2.93728,2.19725,1.55656,0,0.62933,0.16667,0.20584,0.10732,0.62933,0.16667,0.15632,0.07616,2.0159,4.73197,2.79605,1.90146,0,0.000812,0.000812,0.000812
32,2375.86,1.60835,2.93059,2.21785,1.56711,0,0.38546,0.20833,0.2192,0.10143,0.26738,0.20833,0.182,0.09776,2.05953,4.23889,2.81562,1.98121,0,0.0007724,0.0007724,0.0007724
33,2444.86,1.56474,3.03574,2.14092,1.56414,0,0.32613,0.20833,0.17931,0.09192,0.32613,0.20833,0.17611,0.0893,2.00295,3.99691,2.87078,1.89324,0,0.0007328,0.0007328,0.0007328
34,2515.3,1.57825,2.99584,2.18271,1.53658,0,0.19319,0.29167,0.16207,0.09149,0.29404,0.16667,0.14294,0.08049,1.9515,3.96309,2.9654,1.85772,0,0.0006932,0.0006932,0.0006932
35,2576.09,1.54474,2.88265,2.17638,1.52154,0,0.1949,0.29167,0.19365,0.10223,0.32902,0.16667,0.15993,0.08698,1.88755,4.06705,2.91847,1.83091,0,0.0006536,0.0006536,0.0006536
36,2625.1,1.53659,2.88757,2.10359,1.50836,0,0.2434,0.29167,0.21368,0.10926,0.62439,0.16667,0.17476,0.09265,1.87147,4.13595,2.85132,1.80721,0,0.000614,0.000614,0.000614
37,2674.6,1.48501,2.78615,2.01601,1.51408,0,0.31081,0.33333,0.24479,0.11991,0.27246,0.33333,0.20402,0.10515,1.85566,4.22041,2.80559,1.79085,0,0.0005744,0.0005744,0.0005744
38,2723.46,1.48091,2.71894,2.01779,1.43963,0,0.25588,0.29167,0.23067,0.13008,0.30864,0.29167,0.17478,0.10022,1.83717,4.35081,2.79507,1.77,0,0.0005348,0.0005348,0.0005348
39,2772.32,1.53575,2.80929,2.07549,1.49295,0,0.38865,0.20833,0.2395,0.13871,0.21548,0.29167,0.18762,0.09972,1.93322,4.38077,2.70658,1.85935,0,0.0004952,0.0004952,0.0004952
40,2829.49,1.60527,2.82644,2.02588,1.59554,0,0.3432,0.41667,0.29564,0.14944,0.28633,0.375,0.25567,0.11542,1.8794,4.3472,2.72367,1.85145,0,0.0004556,0.0004556,0.0004556
41,2900.09,1.43129,2.69991,2.22062,1.56092,0,0.31236,0.41667,0.26723,0.14641,0.27826,0.375,0.22743,0.11479,1.90097,4.33502,2.73727,1.86199,0,0.000416,0.000416,0.000416
42,2959.18,1.48252,2.6523,2.14697,1.54311,0,0.30023,0.35789,0.26,0.14923,0.25115,0.29167,0.23421,0.12115,1.91517,4.40088,2.77143,1.90293,0,0.0003764,0.0003764,0.0003764
43,3016.39,1.43666,2.61385,2.23407,1.52847,0,0.27204,0.33333,0.25239,0.13828,0.27287,0.34426,0.22483,0.11436,1.95563,4.47029,2.74591,1.9349,0,0.0003368,0.0003368,0.0003368
44,3072.86,1.4869,2.52342,2.19977,1.52759,0,0.2804,0.29167,0.23896,0.13409,0.28307,0.29167,0.20911,0.10706,1.97267,4.53087,2.79601,1.9713,0,0.0002972,0.0002972,0.0002972
45,3129.93,1.35725,2.37815,1.98062,1.4138,0,0.35342,0.25,0.23165,0.11652,0.43763,0.16667,0.17525,0.09281,1.93306,4.63897,2.93092,1.93771,0,0.0002576,0.0002576,0.0002576
46,3187.28,1.44496,2.5507,2.05824,1.58801,0,0.35573,0.25,0.22597,0.11705,0.30835,0.20833,0.16981,0.09049,1.91546,4.6356,2.88684,1.92195,0,0.000218,0.000218,0.000218
47,3244.87,1.34436,2.45006,2.06803,1.44573,0,0.28144,0.25,0.22579,0.12104,0.26927,0.25,0.18047,0.09364,1.89541,4.61573,2.81437,1.89798,0,0.0001784,0.0001784,0.0001784
48,3302.58,1.31181,2.53113,1.9653,1.42811,0,0.26872,0.33333,0.22365,0.13072,0.32429,0.33333,0.20552,0.0941,1.87271,4.5939,2.80592,1.88805,0,0.0001388,0.0001388,0.0001388
49,3360,1.34893,2.49345,2.04712,1.51938,0,0.3229,0.33333,0.23636,0.1344,0.24146,0.33333,0.21199,0.10078,1.84627,4.49771,2.79277,1.868,0,9.92e-05,9.92e-05,9.92e-05
50,3418.27,1.34625,2.53777,2.08406,1.45553,0,0.30132,0.33333,0.22844,0.12829,0.27559,0.33333,0.19995,0.09907,1.84497,4.46265,2.76761,1.86544,0,5.96e-05,5.96e-05,5.96e-05
