epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,78.4937,1.71699,3.97185,3.86969,1.83315,0,0.49319,0.09718,0.0655,0.02408,0.48589,0.08552,0.05057,0.01153,2.24343,4.48091,4.49731,2.52421,0,0.000276843,0.000276843,0.000276843
2,149.151,1.77411,3.80176,3.35836,1.87678,0,0.35564,0.1477,0.06946,0.02867,0.35176,0.12908,0.06668,0.02293,2.09629,4.08013,4.05996,2.2779,0,0.000547647,0.000547647,0.000547647
3,206.307,1.80243,3.80104,3.17998,1.86323,0,0.42273,0.09605,0.07232,0.02807,0.42006,0.09012,0.06491,0.02177,2.18832,4.20879,3.66692,2.28375,0,0.00081158,0.00081158,0.00081158
4,264.676,1.81632,3.77234,3.05396,1.88661,0,0.30508,0.14187,0.10336,0.0376,0.28593,0.11848,0.07861,0.02316,2.09763,4.20774,3.3615,2.29773,0,0.000802075,0.000802075,0.000802075
5,321.477,1.75616,3.68325,2.93351,1.84538,0,0.39149,0.16707,0.12718,0.06015,0.36796,0.15628,0.11792,0.04255,2.0332,3.97352,3.20675,2.20896,0,0.000791767,0.000791767,0.000791767
6,379.622,1.75194,3.62203,2.83347,1.8152,0,0.33587,0.17788,0.14273,0.06097,0.3442,0.14955,0.13237,0.04609,2.03131,3.85399,3.04156,2.21569,0,0.000781458,0.000781458,0.000781458
7,439.976,1.7121,3.57205,2.76899,1.7992,0,0.46202,0.18774,0.16312,0.06878,0.47346,0.16676,0.14849,0.04971,1.94315,3.67525,3.21405,2.15162,0,0.00077115,0.00077115,0.00077115
8,499.709,1.6786,3.52828,2.69671,1.77097,0,0.37115,0.2008,0.17771,0.08135,0.36744,0.18955,0.15438,0.05986,1.9456,3.79118,2.95807,2.11325,0,0.000760841,0.000760841,0.000760841
9,559.775,1.6676,3.47767,2.61055,1.75395,0,0.3883,0.21334,0.18686,0.0861,0.40237,0.1984,0.16364,0.05881,1.92095,3.75071,2.84065,2.10921,0,0.000750533,0.000750533,0.000750533
10,619.288,1.66094,3.43028,2.58734,1.75317,0,0.47634,0.23835,0.20784,0.09822,0.46678,0.21726,0.19031,0.07524,1.92822,3.62686,2.7281,2.09025,0,0.000740225,0.000740225,0.000740225
11,681.874,1.64147,3.37575,2.52219,1.73667,0,0.43,0.20545,0.19176,0.09171,0.41268,0.19,0.16801,0.06746,1.90199,3.62507,2.7516,2.07579,0,0.000729916,0.000729916,0.000729916
12,740.975,1.62617,3.36261,2.48212,1.72834,0,0.51863,0.21184,0.20564,0.10173,0.46973,0.20188,0.19345,0.07707,1.92213,3.62074,2.67061,2.11075,0,0.000719608,0.000719608,0.000719608
13,800.129,1.61929,3.32625,2.4516,1.72297,0,0.39427,0.23576,0.22224,0.10486,0.33088,0.23995,0.18992,0.07621,1.88244,3.56445,2.70637,2.06957,0,0.000709299,0.000709299,0.000709299
14,859.653,1.60674,3.32913,2.42463,1.70927,0,0.34855,0.24663,0.22469,0.11146,0.36336,0.24003,0.21113,0.0869,1.85864,3.49821,2.60116,2.00913,0,0.000698991,0.000698991,0.000698991
15,921.563,1.57595,3.27378,2.33669,1.67638,0,0.49669,0.22218,0.22201,0.11427,0.48872,0.19562,0.19956,0.08423,1.85263,3.52073,2.54106,2.03172,0,0.000688683,0.000688683,0.000688683
16,984.377,1.5598,3.23253,2.31508,1.66646,0,0.46155,0.26113,0.23532,0.12078,0.32574,0.25093,0.20001,0.09149,1.8668,3.60184,2.64057,2.02731,0,0.000678374,0.000678374,0.000678374
17,1041.78,1.56816,3.25671,2.30557,1.66371,0,0.39232,0.25729,0.23014,0.12391,0.37917,0.21953,0.20687,0.09221,1.83094,3.48227,2.53749,1.98919,0,0.000668066,0.000668066,0.000668066
18,1099.25,1.56272,3.21586,2.29287,1.65331,0,0.39482,0.23555,0.19782,0.09952,0.39485,0.22799,0.192,0.07645,1.87047,3.51689,2.61912,2.05852,0,0.000657758,0.000657758,0.000657758
19,1156.7,1.5326,3.19006,2.2324,1.64888,0,0.43228,0.24336,0.2333,0.1249,0.3002,0.27071,0.21874,0.10204,1.84127,3.44165,2.51906,2.03253,0,0.000647449,0.000647449,0.000647449
20,1214.26,1.50606,3.13878,2.21085,1.63331,0,0.35376,0.29309,0.26151,0.13442,0.42848,0.27421,0.25724,0.11334,1.83522,3.40268,2.45017,2.00031,0,0.000637141,0.000637141,0.000637141
21,1272.57,1.49439,3.14889,2.16658,1.61454,0,0.41232,0.27201,0.26148,0.12896,0.39696,0.27442,0.2548,0.11173,1.85946,3.51896,2.47538,2.03143,0,0.000626832,0.000626832,0.000626832
22,1330.19,1.50179,3.11809,2.15625,1.61009,0,0.2932,0.29626,0.23731,0.12543,0.28227,0.28917,0.22451,0.09767,1.88959,3.46206,2.52272,2.05215,0,0.000616524,0.000616524,0.000616524
23,1387.52,1.48566,3.08613,2.11909,1.59722,0,0.42677,0.28606,0.27667,0.14321,0.41343,0.27457,0.26831,0.11417,1.83813,3.43069,2.46826,2.00989,0,0.000606216,0.000606216,0.000606216
24,1444.94,1.47351,3.05218,2.08893,1.58561,0,0.41427,0.29219,0.26459,0.13912,0.41443,0.27902,0.25226,0.10952,1.87352,3.43701,2.52459,2.02979,0,0.000595907,0.000595907,0.000595907
25,1502.75,1.46001,3.03794,2.04596,1.57569,0,0.3417,0.30739,0.25286,0.13051,0.36901,0.30239,0.24974,0.11371,1.8312,3.46517,2.50499,1.95347,0,0.000585599,0.000585599,0.000585599
