epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9355,1.34258,4.23754,3.65915,1.6074,0,0.00419,0.34,0.00517,0.00193,0.00438,0.28667,0.00365,0.00134,1.51135,3.52041,3.90077,1.87847,0,0.000324042,0.000324042,0.000324042
2,17.5836,1.28806,4.13753,3.65751,1.55,0,0.01062,0.26333,0.00509,0.00184,0.0042,0.20667,0.00164,0.00104,1.51297,3.49859,3.89039,1.87307,0,0.000680626,0.000680626,0.000680626
3,19.1824,1.42961,4.01327,3.63966,1.61512,0,0.00318,0.5,0.01453,0.0067,0.00194,0.32,0.01116,0.00217,2.029,7.1945,3.83888,2.06964,0,0.00102255,0.00102255,0.00102255
4,20.9606,1.40924,3.7578,3.59269,1.54164,0,0.00298,0.46667,0.0816,0.03922,0.00143,0.18333,0.03618,0.01576,1.76235,6.63668,3.74968,1.88131,0,0.00104501,0.00104501,0.00104501
5,22.7351,1.31696,3.44139,3.52376,1.49416,0,0.0031,0.44333,0.03889,0.01767,0.00074,0.10667,0.00836,0.00342,1.59286,8.19914,3.77412,1.75357,0,0.00102301,0.00102301,0.00102301
6,24.5201,1.22046,3.06804,3.42343,1.4409,0,0.02134,0.49,0.05649,0.02227,0.00157,0.23667,0.01555,0.00714,1.80718,7.40566,3.76533,2.03755,0,0.00100101,0.00100101,0.00100101
7,26.2877,1.22066,2.88885,3.31793,1.41485,0,0.01269,0.57,0.03084,0.01268,0.00411,0.29667,0.00997,0.00314,1.71113,8.09646,3.76176,1.95304,0,0.000979013,0.000979013,0.000979013
8,28.1657,1.11835,2.54334,3.20734,1.38195,0,0.01082,0.65,0.06995,0.02286,0.00768,0.43333,0.05124,0.01501,1.6152,6.61076,3.70631,1.88952,0,0.000957015,0.000957015,0.000957015
9,29.9828,1.11909,2.46093,3.10168,1.42574,0,0.00792,0.61333,0.09038,0.03088,0.0067,0.49667,0.06942,0.02739,1.7012,5.53593,3.76311,2.04441,0,0.000935018,0.000935018,0.000935018
10,31.7728,1.14321,2.43624,2.97959,1.38655,0,0.01018,0.73,0.16893,0.07368,0.00939,0.61667,0.12171,0.04774,1.52824,4.77208,3.66111,1.86281,0,0.00091302,0.00091302,0.00091302
